,회사,공고제목,주소,경력,기술
0,플라네타리움랩스코리아,[400억↑투자] 블록체인(EVM) 엔지니어(2년 이상),서울 강남구,경력 2-15년,"원자격•학력및성별무관•관련경력2년이상및그에준하는경력요구사항•1개이상의프로그래밍언어로자신이외의다른사람이사용하는제품을만들어본경험•블록체인관련경험채용절차아래과정은개별로최대4주이내에진행될예정입니다.1.서류전형:보내주신이력서를상세히검토하여이후단계진행여부를결정합니다.2.과제테스트(재택,24시간):미니프로젝트형태의과제를통해업무에필요한역량을확인합니다.3.심층면접(비대면/대면,1시간):실무진과심층면접을진행합니다.업무역량및지식을충분히보유했는지,협업능력을갖추었는지등을이과정에서평가합니다.4.경영진면접(비대면/대면,1시간):경영진과최종면접을진행합니다.5.처우협의및입사예정일확정:평판조회를진행하고,근무조건및출근일등을최종협의합니다."
0,모두의봄,IT 개발자,서울 마포구,경력 5-15년,Java기반웹관련경력10년이상인분•프로젝트기획단계부터DB설계를진행해보신분•RESTApi설계및개발경력5년이상인분•SpringFramework활용기간5년이상인분
0,만나플래닛,서버 개발,서울 구로구,경력 5-10년,5년이상JAVA개발경험을가지신분ㆍ팀원들과원할한커뮤니케이션이가능하신분ㆍ스스로할일을정하고문제를해결할수있으신분
0,알스퀘어,[1100억↑투자] 백엔드 개발 팀장,서울 강남구,경력 10-20년,"SW개발및운영경력10년이상•Spring,Kotlin기반서버개발경험및Hand, on능력•데이터모델링및데이터베이스관리경험•AWS기반인프라운영능력"
0,이큐브랩 (Ecube Labs),[100억↑투자] Sr. SRE/DevOps Engineer,서울 구로구,경력 5-15년," 만5년이상의유관경력(Backendengineer,Infraengineer)또는이에준하는지식보유, AWS/GCP/Azure등클라우드컴퓨팅환경에서서비스운영및관리경험3년이상보유, Terraform/AWSCDK와같은IaC를이용한인프라관리경험3년이상보유, Kubernetes클러스터구축및운영경험3년이상보유, 컨테이너기반의서비스운영경험3년이상보유, AWSCertifiedSolutionArchitect—Associate또는이에준하는자격보유, Prometheus,Datadog,ELK등의서비스로로깅및모니터링경험보유"
0,에그버스,블록체인 개발,서울 강남구,경력 3-5년,"자격요건, 주니어이상급개발능력, 블록체인기술및업계에대한전반적인이해, 타인이작성한코드를읽고분석및수정할수있는능력필수:HTML,CSS,Javascript,React우대:Next.js,Tailwindcss"
0,비에이치에스엔,AI Engineer,서울 강남구,경력 3-7년,"ML/AI개발실무경력3년이상이거나그에준하는역량을보유하신분•기본적인NLP지식을가지고있으며,언어모델을이용한NLP방법론에익숙하신분•LLM개발및DistributedComputing에익숙하신분•DAPT(DomainAdaptivePre, Training)등다량의문서를사전학습해보신분•PEFT(Parameter, EfficientFine, Tuning)등효율적인파라미터튜닝을해보신분•Toolformer처럼다양한API/Tool을LLM과결합하여학습해보신분•Git,Docker등을이용한코드관리및배포에익숙하신분"
0,바이브존(Vibezone),미디어 서버 개발,서울 강남구,경력 5-10년,"미디어서비스모바일또는TVapp개발경험자•프론트엔드기술전반에걸친이해가높으신분•React,JavaScript/TypeScript,JavaScriptStyle능숙자"
0,누비랩,[100억↑투자] React Native 개발자,서울 강남구,경력 3-10년,"이런동료를찾고있어요]•3년이상의ReactNative앱개발경험이있거나그에준하는실력을갖추신분•Javascript/TypeScript에대한깊은이해가있으신분•React, Query사용에능숙하신분•컴포넌트를라이브러리를사용하지않고직접개발가능하신분•CodePush,Fastlane등을이용한효율적인배포관리경험이있는분•RESTfulAPI에대한깊은이해가있으신분•요구사항에대한빠른분석과피드백이가능하신분•다양한환경과디바이스에적합한UI/UX에전반적인이해를갖춘분"
0,배움,차세대 LMS 구축 개발 리더,서울 강남구,경력 10-20년,"Java,Spring,SpringBoot,Restful을이용한개발유경험자(5년이상)•클라우드컴퓨팅기반의서비스개발유경험자•자동화배포프로세스(CI/CD)구축유경험자•실제최소3명이상의팀리딩유경험자•프론트엔드개발자,디자이너등동료와협업/커뮤니케이션능숙자"
0,퀀텀유니버스,XR 개발자,서울 강남구,경력 2-5년,2~5년개발경험•Unity필수사용자•그래픽스에대한이해•병역의무자의경우군필자또는병역면제자
0,핌아시아,백엔드 개발자(7년 이상),서울 강남구,경력 7-15년,".직급:과장~차장2.경력:7년이상3.개발환경•React.js,HTML/CSS•X, Javascript,Webpack,Babel,redux4.자격요건•Java/Kotlin/Spring/JPA기반의소프트웨어개발경험이있으신분•7년이상의서비스개발/운영경력이있으신분•데이터구조에대한기본적인지식이있으신분•MySQL/PostgreSQL기반의데이터베이스를활용한개발경험이있으신분•RESTAPI개발경험이있으신분•업무에대한백로그및우선순위관리가가능하신분"
0,이노소니언,프론트엔드 개발자,서울 서초구,경력 7-12년,학력:학력무관•경력:7~12년•내가작성한코드로어느비즈니스문제를어떻게해결했는지설명할수있으신분•서버사이드애플리케이션개발경험이있으신분•고용형태:정규직(수습3개월)
0,로지스팟,[500억↑투자] 프로덕트본부 총괄 본부장(CPO),서울 서초구,경력 10-20년,"4년대졸자및ComputerScience관련전공자•10년이상프로덕트리더십역할경험•뛰어난성과를내는팀,획기적인제품을만들고자하는확고한의지소유자•고객문제해결에대한열정과이를위해고객과관계형성한업적•고객의요구와시장동향을분석및해석한경험•빠르게변화하는환경에서여러프로젝트와그우선순위를동시에관리하는능력•검증된변화촉진자이자강력한전략적사고역량보유자•KPI및성공지표를사용한Data, driven의사결정역량"
0,한국부동산데이터연구소,[내집스캔] 개발 리드 팀원 (5년 이상),서울 마포구,경력 5-15년," 고객이사용하는제품을개발&운영해보았던경험, 개발프로세스에대한이해(디자인,설계,구현,테스트,배포,운영), 팀으로일할때행복하신분, RESTAPI연동/개발경험이있으신분, nodejs,java,php,c#,python중한개이상언어의사용이가능하신분"
0,마크비전코리아,Software Engineer (Web Automation),서울 강남구,경력 3-10년,"백엔드개발경력3~10년또는그에준하는실력을가지고계신분•기초적인웹지식을갖추고계신분•AWS등클라우드서비스를이용해보신분•논리적인사고를통해문제해결능력을갖추고계신분•팀원간,조직간의원활한커뮤니케이션능력을갖추신분"
0,라포랩스(퀸잇),데브옵스 엔지니어,서울 강남구,경력 3-10년,"최소3년이상의DevOps/SRE경력이있으신분•최소1년이상의Kubernetes운영경험또는그에준하는이해도를갖추신분•PublicCloud(AWS,GCP,Azure)기반의서비스운영경험이있으신분•트러블슈팅을심도있게해본경험이있으신분※서류제출시,운영고도화나트러블슈팅경험을가장잘보여주는사례를구체적으로작성해주시면좋아요."
0,한국포인트거래소,DevOps & SE,서울 강남구,경력 5-15년,AWS환경서비스경험•5년이상관련종사자
0,케이비자,중급 프론트엔드 리액트 개발자(React.js),서울 강서구,경력 3-10년," 프론트엔드개발경력4년이상, React.js개발경험2년이상, RestAPI를이용하여프론트엔드개발을해보신분, 프론트엔드부분을담당하여개발&운영이가능하신분, 다른팀원들과의원활한커뮤니케이션을유지하며프로젝트진행이가능한분"
0,제너럴커피코디네이터,React-Native 개발자,서울 강남구,경력 1-2년,"런경험이있으면좋겠습니다.•React, Native2년이상경험이있는분!•TypeScript작업경험이있는분"
0,지이모션,풀스택 엔지니어,서울 강남구,경력 5-10년,"학력:대졸이상ㆍ경력:관련경력5년이상ㆍnode.js기반RESTful서비스개발경험ㆍ빌드,테스트,배포자동화경험ㆍAWS서비스운영경험ㆍgit사용에익숙하신분ㆍ최신기술에대한이해와빠른습득능력을갖추신분ㆍ원활한커뮤니케이션능력을갖추신분ㆍ해외여행결격사유가없는자"
0,콜게이트,[100억↑투자] Back End 개발 (7년이상),서울 서초구,경력 7-14년," 백엔드개발경력5년이상, Spring프레임워크개발경험, Java개발경험, RESTfulAPI개발경험, 데이터베이스(MySQL)를활용한설계및개발경험※지원시최종연봉및희망연봉기제부탁드립니다."
0,그린리본,백엔드 개발자,서울 마포구,경력 5-10년,"(필수)소프트웨어엔지니어실무경력5년이상인분•새로운기술및트렌트에대해끊임없이관심을갖고이를활용하시는분•비즈니스를빠르게이해하고능숙하게데이터모델과API를디자인할수있는분•Springframework,SpringCloud,JPA,AWS등다양한오픈소스라이브러리및프레임워크사용경험을한백엔드개발자•이슈가발생하면기획/개발/디자인동료들과함께고민하고해결책을찾아나갈수있으신분"
0,로보코리아(LOVO Korea),[전문연구요원] 백엔드 엔지니어,서울 강남구,경력 5-8년," 새로운기술및트렌드에대해끊임없이관심을갖고이를활용하시는분, 하나의온전한서비스의아키텍처설계부터인프라,개발,배포,운영까지경험해보신분, AWS혹은기타클라우드환경을활용한인프라관리경험이있으신분, Datadog,Grafana,Prometheus등의서비스를통한모니터링경험이있으신분, 애자일,스크럼,칸반등의개발프로세스경험이있으신분"
0,크리스틴컴퍼니,[SINPLE] 신플 솔루션 고도화 개발PM(5년 이상),서울 강남구,경력 5-10년,"Python,Github,MySQL,AWS등의기술스택을능숙하게활용하실수있는분•딥러닝알고리즘개발경험을보유하신분•백앤드또는프론트앤드개발경험을보유하신분•함께배워나가며발전해나가는데기쁨을느끼시는분"
0,에이블제이,신규 웹서비스 [서버/백엔드] 개발자,경기 성남시,경력 3-10년,"JavaScript및Node.js에대한깊은이해•Express.js또는Nest.js를활용한백엔드개발경험•RESTfulAPI설계및구현경험•데이터베이스스키마설계및최적화경험•서버성능최적화및스케일링에대한경험•클라우드서비스(AWS,Azure,GCP등)활용경험•Git을활용한협업경험•팀원과의원활한커뮤니케이션능력•새로운기술에대한호기심및끊임없는학습의지"
0,슈퍼진,챗봇 서비스 서버 개발 (5년 이상),경기 성남시,경력 5-20년,"Node.js기반서버애플리케이션개발및운영경력5년이상•OpenAIGPT또는오픈형LLM을활용한페르소나형챗봇서비스서버개발경험을보유하신분[기술스택], Node.js기반API서비스프레임워크, Vue.js, PostgresDB, VectorDB, Redis, Go(optional), Heroku, AWSEKS"
0,파더스랩,Software PM (5년 이상),서울 강남구,경력 3-10년,"IT프로젝트에관한업무경력5년이상보유한분ㆍ외국어(영어)에능통하신분ㆍ해외출장에결격사유가없는분ㆍTask관리를할수있는폭넓은업무이해와Risk관리능력을보유한분ㆍ합리적인의사결정과논리적인대화,체계적인문서화가가능한분"
0,커리어데이,웹 풀스택 엔지니어 [5년 이상],서울 강남구,경력 5-9년,"JavaScript및Node.js를익숙하게사용가능한분•SQL이나MongoDB등의DB를익숙하게사용가능한분•HTML,CSS,JavaScript(TypeScript)를익숙하게사용가능한분•React(orNext.js)를사용한서비스개발경험(2년이상)•업무관련한커뮤니케이션능력이뛰어난분•친절하며매너있는분"
0,아이엠에스이,프론트엔드 개발자,경기 성남시,경력 5-10년,"경력5년이상~•웹프론트엔드개발및운영업무관련역량•HTML,CSS,JavaScript및프론트엔드프레임워크(React,Angular,Vue등)에대한심층적인지식•반응형웹디자인및크로스브라우저개발경험•RESTfulAPI및웹서비스와의통합경험•Git,Jira등의개발도구사용능력•기획자및백엔드개발자와의원활한소통능력"
0,피피비스튜디오스(PPB Studios Co.),웹 프론트 개발자,서울 성동구,경력 5-6년,"경력5년이상•Javascript,Nodejs,Vuejs2/3가능자•API연동JSON컨트롤이능숙해야함•웹소켓기술사용가능자•정보처리기사자격증취득"
0,트루테크놀로지스,Senior Full-stack Developer,서울 영등포구,경력 1-10년,"Java,Javascript,REACT/Redux,TDD,BDD•NativeKoreanspeakerwithfluentEnglish•ContinuousDelivery"
0,드래프타입,AI SW 연구개발(R&D),서울 성동구,신입-경력 20년,"런분과함께하고싶어요.•생성형AI기술에관심이많고새로운기술을찾아내는것이즐거우신분•StableDiffusion으로이미지를10,000장이상만들어본분•LoRA혹은LyCORIS로학습시켜본경험이있으신분•프롬프트나파라미터들의값0.1의차이가어떤결과를내는지하나하나테스트해야속이시원한분•PyTorch로직접코딩하진못해도오픈소스기술들을조합하여원하는이미지를만들자신이있는분•AI로만든멋진사진을보면그과정이나방법이끊임없이상상되는분•호기심이생기면결과를봐야만족하고결과를기록해두는습관이있으신분•깊은기술적지식보다넓은기술적시야를추구하시는분"
0,웜블러드,풀스택 웹 개발자 (Python/Django),서울 강남구,경력 3-8년,"백엔드와프론트엔드를구분하지않고두루두루관심이있는분•유행하는기술을추종하기보다는,문제를해결하는적정기술이라면최신이든오래된것이든가치를두는분•가급적만3년이상의실무경험,혹은그에준하는역량이있으신분(주로3~10년차.연봉범위는4000~6000.)현재개발조직이2인규모로매우작아서,현재는역량이부족한분은받지못합니다.•기본적인오픈마켓에필요한DB모델링을하실수있는분•Djangotemplate,vanillaJavascript가혼합되어사용되는동작을이해하고사용할수있는분•TailwindCSS등여러CSS도구의도움을받아서,기획된UI/UX를구현할수있는분•대중적이지않은기술스택이라는것을잘인지하신분.하지만다른곳에서경험하기어려운독특한경험이될겁니다.[기술스택]•Python과Django,Javascript를사용합니다.•통합적이고빠른개발을위해RESTAPI+SPA구조대신,Djangotemplate+HTMx를사용합니다.("
0,서커스컴퍼니,인프라 개발자,서울 강남구,신입-경력 8년," 나이/성별/학력/전공무관, 3년이상의웹어플리케이션개발,운영경험, Node,.Net,Nginx,Apache,SystemDesign, MySQL,MariaDB,SQLServer등DBMS경험, 기본적인Linux사용능력, 여러직군들과협업하며AR/VR/MR/XR선도하는서비스를만들어가고싶으신분"
0,에임비랩,웹/앱 백엔드개발자(Python),서울 금천구,경력 3-8년," 학력:고졸이상, 경력:3년이상, 해외여행에결격사유가없는분, Python을활용한프로젝트개발경험이있는분, Flask,FastAPIFramework개발경험이있는분, RESTAPI사용경험이있는분, GIT을사용할수있는분, AWS프로젝트배포경험이있는분, Pandas또는sql을활용한데이터분석가능(초급이상), Redis를이용한캐시활용경험이있는분, Tensorflow를사용할수있는분"
0,아인잡(AINJOB),HR PLATFORM 백엔드 개발 리더 PM (7년 이상),서울 강남구,경력 7-15년,"학력]필수대졸이상(4년)Computer공학,혹은Software공학혹은관련학과학사[경력]개발경력7~15년이상ㆍJava로""서비스platform""개발경험5년이상(기획부터배포,운영까지)ㆍDataarchitecture/API설계/framework구축경험ㆍDB논리적설계/물리적설계/구현/운영ㆍ프로그램logic개발경험ㆍ결재기능,filtermatching기능ㆍB2C상용서비스플랫폼을개발경험이있는분ㆍAWSRDS,Codecommit,Jenkis(CI/CD),ECS개발및서버운영경험3년이상."
0,아더월드,풀스텍 개발자 시니어급,서울 성동구,경력 7-9년,"7년이상의풀스텍개발경험•React.js및Next.js를활용한개발경험•AWS,RDB,NoSQL,RestfulAPI,GraphQL등풍부한백엔드개발경험•Github을이용한버전관리경험•Nest.js등의Nodejs기반Framework경험,MVC에대한이해도•Figma등을사용하는디자이너와협업경험•문제해결능력및원활한커뮤니케이션능력•블록체인기술에대한기본적인이해"
0,이노소니언,백엔드 개발자,서울 서초구,경력 7-12년,학력:학력무관•경력:7~12년•내가작성한코드로어느비즈니스문제를어떻게해결했는지설명할수있으신분•서버사이드애플리케이션개발경험이있으신분•고용형태:정규직(수습3개월)
0,비로보틱스,[배민 서빙로봇] 서버 개발자 (5년 이상),서울 송파구,경력 4-9년,"백엔드경력5년이상혹은이에준하는경험을가지신분•MessageQueue(ActiveMQ,Kafka,RebbitMQ)를이용한개발경험이있으신분•대용량트래픽환경에서의MSA구축/운영경험이있으신분•WebSocket/SSE를활용한개발경험이있으신분•스프링프레임워크(SpringBoot)와JPA(Hibernate)를이용한개발경험이있으신분•SpringSecurity,SpringCloudGateway를이용한개발경험이있으신분•MySQL(MariaDB)등의RDBMS의경험이있으신분•HTTP/RESTAPI설계에대한이해와구현경험이있는분•AWS를활용한설계,개발,운영경험이있으신분"
0,야놀자Tech(R&D),Software Engineer (전문연구요원),서울 강남구,신입-경력 10년,"필수경험과역량], 프로그래밍언어에크게구애받지않고개발이가능한분, 빠르고정확한문제해결능력을보유하신분, 생산적인토론을통한자기성장을지향하시는분"
0,아하앤컴퍼니,프론트엔드 엔지니어 리드,서울 강남구,경력 5-10년,"최소5년이상의프론트엔드개발경력을보유하신분•최소5명이상규모팀을리드하면서팀원을코칭하고양성한경험이있는분•최소한가지의프론트엔드프레임워크에능통하신분•최소한가지의개발언어에능통하여개발이익숙하고기술적도전과제를해결함에있어주저함이없는분•개발효율향상을위해서라면툴과인프라를도입하는데에거리낌이없으신분•AutomatedTesting,CI,CD경험이있는분•본인이최고의팔로워로서의마음가짐과역할을정확히알고있고구성원들에게해당내용을명확히설파,전파하실수있는분"
0,마더브레인(Motherbrain),광고 솔루션 백앤드 개발자 8년 이상,서울 서초구,경력 8-14년," 직급:과장/차장급(경력8년이상), 학력:무관, 전공:무관•필요경력, 광고API를통한데이터수집및시각화개발, 빅데이터저장및통계분석개발, 빅데이터시각화개발, MSA아키텍처와클라우드(AWS)환경개발경험•필요역량, JavaSpringBoot를활용한API설계및개발, ElasticSearch,OpenSearch(AWS)를활용한비정형데이터분석, RDBMS(MySQL,MariaDB)설계및통계SQL경험, Python데이터크롤링및Flask를활용한API개발"
0,라텔앤드파트너즈,웹프론트 개발자(4년 이상),서울 중구,경력 4-10년,"경력4~7년•HTML,CSS,TypeScript에경험과이해가있으신분•React개발경험이있으신분•전역상태관리(Recoil,Redux등)에익숙하신분•원활한커뮤니케이션능력이있으신분"
0,소프트스피어,웹/앱 프론트엔드 개발자 (ReactJS/React Native),서울 강남구,경력 5-15년,"웹개발경력5년이상(또는그에준하는역량)•Typescript,NextJS,Redux를사용한Server, side반응형웹개발경험•ReactNative,Flutter등크로스플랫폼앱개발경험"
0,어반데이터랩,플랫폼 개발자 (풀스택),서울 종로구,경력 4-10년,"Backend프레임워크활용및개발경력4년이상경험혹은그에준하는실력•다양한Frontend, framework(Angular,Vue,React등)개발경험과이해•프레임워크활용개발환경구성경험자•SQL작성중급이상실력보유자•자체플랫폼구축또는대외SI프로젝트PL경험자"
0,에타일렉트로닉스,"임베디드 S/W, F/W 엔지니어",서울 용산구,경력 1-10년,"전자,전산,컴퓨터공학등전공자"
0,프렉스코리아(Presto),Software Engineer (Payment Gateway),서울 영등포구,경력 2-4년,"ExcellentprogrammingskillsinTypescriptandPython•Excellentdesigningfault, tolerantsoftware•Thoroughknowledgeofcomputerarchitectureandnetworks•AfirmgraspofgoodprinciplesofsoftwareengineeringlikeTDD(unittestcoverageupto80%),writingmodular,maintainable,refactorable,cleancode,andareusedtoworkinginanAgileenvironment•Strongsenseofownership,urgency,anddrive"
0,아하앤컴퍼니,안드로이드 엔지니어 (미들 - 시니어),서울 강남구,경력 3-10년,"Android개발경력3년이상또는그에준하는실력을갖추신분•JAVA/Kotlin기반의프로젝트개발경험혹은빠르게습득할수있는능력•AndroidPlatform에대한폭넓은이해를보유하신분•AndroidJetpack을이용한개발경험이있으신분•Reactive프로그래밍에대한이해및KotlinCoroutines사용경험보유•서버,기획,디자인등다양한직군이동료들과원활하게소통하고적극적으로협업하실수있는분"
0,야놀자Tech(R&D),Sr. Back-end Engineer - Platform Engineering,서울 강남구,경력 7-14년,"7년이상의Back, end개발경력•OOPprinciple을잘이해하고개발에활용하시는분•Java/Spring/ORM을이용한webapplication개발경험•SQL/DBMS에대한이해와활용능력을보유하신분•대용량데이터및highavailability시스템개발가능하신분•서버및네트워크에대한기본적인이해능력을보유하신분"
