,기업명,업종분류,사원수,설립연도,기업형태,매출액,주소,직무,이용하는 기술스택,자격요건,직급,우대사항,해당 페이지 URL,기업 홈페이지 URL
10,21세기전파상,도매·상품중개,3.0,2019.0,중소기업,25520.0,서울특별시 서초구,총괄 개발자,"['Git', 'Github', 'MySQL', 'SQL', 'React', 'React Native', 'JavaScript', 'Node.js', 'AWS']","• Git 사용 및 전반적인 소스 CI/CD 경험자
• Node.js express Nest.js Framework 개발 경험이 있으신 분 
• RESTful API구축 및 설계 경험이 있으신 분
• 외부 rest api 연동 및 Oauth2 기본 개념을 가지고 있으신 분 
• CentOS 및 클라우드 컴퓨팅 서버(AWS, NCP)관련한 지식이 있으신 분",0,"• 백엔드 실무 경험 3년 이상
• 로드 밸런싱 및 서버 부하 조절 경험이 있으신 분
• 커머스 또는 O2O 개발 경험이 있으신 분
• 풀스택 개발이 가능하신 분
• 초기 스타트업에서 주도적인 역할을 담당하였거나 창업 경험이 있으신 분",https://www.rallit.com/positions/677/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
11,중고나라,소프트웨어·솔루션·ASP,149.0,2013.0,중소기업,1010994.0,서울특별시 서초구,데브옵스 엔지니어,"['AWS', 'Kubernetes', 'Terraform', 'helm', 'GitHub', 'Docker', 'container', 'devops', 'cloud-computing', 'CI/CD']","3년 이상 또는 이에 준하는 경력을 가지신 분
AWS Cloud, Kubernetes 경험이 있으신 분
Service Mesh에 대한 이해
Terraform, Helm 기반의 IaC 실무 경험이 있으신 분
도커, 컨테이너 서비스에 대한 이해
CI/CD 파이프라인 구축 및 운영 경험",0,"클라우드 서비스(GCP GKE etc) 실무 경험 보유
서비스, 인프라 모니터링에 대한 이해가 있으신 분
스크립트 (Shell, Python) 작성 및 활용이 가능한 분
C2C거래 또는 플랫폼 서비스에 관심이 많은 분",https://www.rallit.com/positions/1838/sre-devops-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4-%EA%B2%BD%EB%A0%A5,web.joongna.com
12,테이퍼랩스,,,,,,서울특별시 강남구,백엔드 엔지니어,"['AWS', 'Lambda', 'Node.js', 'Elasticsearch', 'openai', '인공지능(AI)', 'NLP']","자격요건
- 컴퓨터 공학 등 전공자 또는 3년 이상 현업 경험자",0,"우대사항
- 원격 근무 및 SaaS에 대한 관심 및 경험 보유자
- OpenAI API, LangChain 등에 대한 관심 및 개발 경험
- Node.js Web Framework에 대한 이해도 및 경험
- Amazon Web Services(Lambda, EC2, S3, CloudFront 등)에 대한 이해도 및 경험
- Database 설계 및 최적화에 대한 이해도 및 경험
- Elastic Search 등 엔진, 라이브러리 기반 검색 시스템 구축 경험
- Cloud 비용 최적화 경험 보유자
- 대용량 트래픽 분산 처리 아키텍쳐에 대한 이해",https://www.rallit.com/positions/158/backend-engineer,
13,엔블리스컴즈,,,,,,서울특별시 동작구,백엔드/서버 개발자,"['AWS', 'MySQL', 'Spring Boot', 'Back-End', 'Web API']","- 필요한 업무 기술의 경험과 이해도가 높으신 분
- 웹 서비스에 대한 이해와 책임감이 있으신 분
- 코드 리뷰에 긍정적이고, 원활한 커뮤니케이션이 가능하신 분
- 다양한 직군의 동료들과 협업하여 문제를 파악하고 해결할 수 있는 분
- 유저가 겪는 문제점을 찾고 기술로 해결하는 일에 관심 있는 분",0,"- 컴퓨터공학 및 공학 관련 계열을 전공하신 분
- 다양한 백엔드 개발 경력을 보유하신 분
- 웹 및 서버 보안에 대한 이해도를 가지신 분
- 글로벌 서비스 경험이 있으신 분
- 서비스를 운영하는 스타트업 경험이 있으신 분
- 소프트웨어 품질, 생산성을 합리적으로 생각하고 해결이 가능하신 분",https://www.rallit.com/positions/305/%EB%B0%B1%EC%97%94%EB%93%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90,
14,지냄,,14.0,,,830000.0,서울특별시 강남구,백엔드 개발자,"['Node.js', 'TypeScript', 'PostgreSQL', 'MySQL', 'NestJS', 'Redis', 'TypeORM', 'Docker', 'AWS', 'github-actions']","- 백엔드 개발 실무 경력 4년 이상이거나 그에 준하는 역량을 보유하신 분
- Node.js를 이용한 백엔드 개발 경험이 있으신 분
- TypeORM, Prisma, Sequelize 등 ORM을 활용한 개발 경험이 있으신 분
- Restful API 개발 및 설계를 해보신 분

[요구 기술 스택입니다👌]
Node.js, Nest.js
TypeScript
PostgreSQL, MySQL
Redls
TypeORM
Docker
AWS
Git / Github Action (CI/CD)
Swagger
Jest, Mocha
Websotrm, Datagrip",0,"- 보여주실만한 Github Repository가 있으신 분
 - Nest.js 개발 경험이 있으신 분
 - DevOps, Docker, KBS 등에 관심이 많으신 분
 - 테스트 코드 및 배포 자동화(CI/CD) 작성 경험이 있으신 분
 - 리팩토링과 코드 리뷰를 즐겨 하시는 분",https://www.rallit.com/positions/2240/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
15,럽맘,,,,,,서울특별시 강서구,백엔드 개발자,"['Django', 'FastAPI', 'MySQL', 'Google Cloud Platform', 'Azure', 'AWS']","- Python 웹 프레임워크 경험 1년 이상

- 클라우드 플랫폼에 서버 배포 경험

- 다른팀과의 협업 및 의사소통에 문제 없으신분",0,"- 다양한 프레임워크를 과감하게 도전해보실 분

- 팀 운영을 해보고 싶으신 분

- 신규 개발자 양성에 관심이 많으신분",https://www.rallit.com/positions/2130/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-django-%ED%8C%80%EC%9E%A5%EA%B8%89-%EC%B1%84%EC%9A%A9,
16,위펀,,182.0,,,4680000.0,,백엔드 엔지니어,"['Java', 'Spring Boot', 'JPA', 'querydsl', 'REST API', 'Linux', 'AWS', 'MySQL', 'MariaDB']","3년 이상의 백엔드 개발 경험 또는 그에 준하는 역량을 보유하신 분
Java, Spring Boot를 이용한 개발 경험이 있으신 분
JPA, Querydsl 등 ORM 기술을 활용한 개발 경험이 있으신 분
MySQL/MariaDB 또는 하나 이상의 관계형 데이터베이스 활용 경험 있으신 분
RESTful API 설계 및 개발 경험
기본적인 Linux/Unix 명령어 활용 능력",0,"성능 벤치마킹 및 최적화 경험
물류, ERP, CRM 도메인에 대한 이해 혹은 개발 경험
NodeJS 개발 경험
프로그래밍 언어 또는 프레임워크가 다른 레거시 프로젝트를 점진적으로 리팩터링 하여 전환한 경험
JUnit 을 활용한 유닛 테스트 작성 경험
AWS/GCP 등 Cloud 기반 Infra 혹은 서비스 운영 경험
CI/CD 파이프라인 구성 경험
AL/ML/DL 을 활용하여 서비스 품질을 개선한 경험
대용량 아키텍처 또는 데이터 파이프라인 설계/구축 경험
Microservice 아키텍처 기반의 서비스 개발 경험
Docker 또는 Kubernetes 등 Container 환경에서 개발 경험
Kubernetes Cluster 구축 또는 운영 경험
Kafka 또는 RabbitMQ 등 메세지 브로커 또는 큐를 활용한 개발 경험
Scrum(애자일 개발 프로세스) 프로젝트 수행 경험 또는 MVP(Minimum Viable Product) 개발 경험
반복적인 업무를 자동화하여 업무 효율을 개선한 경험",https://www.rallit.com/positions/1923/%EC%A3%BC-%EC%9C%84%ED%8E%80-backend-engineer,
17,피나클FINAKLE,소프트웨어·솔루션·ASP,7.0,2020.0,중소기업,7000.0,,백엔드 개발자,"['Python', 'AWS', 'Docker', 'ec2', 'Redis', 'FastAPI', 'MySQL', 'Node.js', 'nginx', 'Kubernetes']","• 최소 2년 이상
• Python 기반 프레임워크 경험이 있으신 분 ( FastAPI, Flask, Django etc. )
• AWS를 활용한 배포경험이 있으신 분
• 다른 포지션과 협업 및 프로덕션 경험이 있으신 분
• 증권계좌 연동, 금융 공공API 연동, 금융기관등 외부 시스템 연동 및 사용 경험이 있으신 분",0,"• 핀테크 경험이 있으신 분
• 블록체인 기술에 대한 이해와 응용경험이 있으신 분
• (남성의 경우) 병역의 의무를 마치신 분 또는 군면제자",https://www.rallit.com/positions/2112/backend-developer,
18,다이노즈,,,,,,, 백엔드 개발자,"['NestJS', 'Node.js', 'AWS']","- 기술 Stack : [BE] Nest.js (Node.js)
    - 참고 : [FE,Client] Flutter (+Firebase)
    - (DevOps) 기타 - AWS (RDS, Codepipeline, ElasticBeanstalk)
- API 설계 및 구현 경험",0,"- 커뮤니티, SNS 웹/앱 서비스 운영/구현 경험 보유
- Firebase 연동 경험 보유 (Auth, Storage, Dynamic links 등)
- 스타트업 경험자",https://www.rallit.com/positions/1115/%EC%9D%B8%EC%9E%AC%ED%92%80-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-nest-js-node-js,
19,브리치,,26.0,,,1310000.0,서울특별시 강남구, 백엔드/서버 개발자,"['PHP', 'JavaScript', 'Python', 'Node.js', 'Spring Boot', 'AWS']","• PHP 유경험자
• Modern PHP Programming, OOP에 대한 이해
• Backend 프레임워크 CodeIgniter, Laravel 등 유경험자
• Frontend 프레임워크 React JS, Vue JS, Angular JS 등 유경험자
• Git 이슈트래커 등 협업경험",0,"• 오픈소스 이용한 개발 경험 보유자
• Rest API 개발 유경험자
• 모바일/이커머스/o2o서비스에서 개발 경험
• 대용량 데이터 시스템 처리 및 운영 경험자
• 리눅스 플랫폼에서도 익숙하게 개발할 줄 아는 개발자
• AWS 시스템 관리 경험이 있는 분
• 사용자 통계 데이터 수집 및 분석 경험이 있는 분
• Unit Test 에 대한 이해도가 높으신 분",https://www.rallit.com/positions/506/%EB%B9%84%ED%94%8C%EB%A1%9C%EC%9A%B0-%EB%B0%B1%EC%97%94%EB%93%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EB%B0%9C%EC%9E%90,
20,레인포컴퍼니,,,,,,,프론트엔드 개발자,"['JavaScript', 'TypeScript', 'NestJS', 'TypeORM', 'Git', 'AWS']","**아래의 NestJS, Spring 기반 경험 중 하나만 해당 하시면 돼요!** 

- NestJS 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분
    
    → TypeScript, NestJS, TypeORM 기반의 웹 어플리케이션 개발 경험
    
- API 시스템 설계 및 개발 경험
- RDBMS, NoSQL 사용한 테이블 설계 및 개발 경험
- Git을 사용한 형상 관리 경험
- 문제 해결에 대한 다양한 접근과 해결 방안에 대해 고민해본 경험
- 문서화를 습관처럼 하시는분
- 커뮤니케이션이 원활하고 코드 리뷰에 적극적이신분
- 개발자로서 성장에 대해 계속 고민하시는분",0,"**우대사항은 그저 우대사항일 뿐입니다.**

- 24 / 365 서비스 개발 경험
- CI / CD 파이프라인 구축 경험
- AWS 클라우드 기반 인프라 구축 및 운영 경험
- 유지보수성 및 확장성을 고려한 코드 구현 경험
- 테스트 코드 작성 경험
- Spring 기반 백엔드 개발 2년 이상 혹은 그에 준하는 실력을 갖추신분

    → Java, SpringBoot, Mybatis, JPA 기반의 웹 어플리케이션 개발 경험",https://www.rallit.com/positions/1358/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90,
21,롯데헬스케어,,,,,,서울특별시 송파구,,"['AWS', 'Kubernetes', 'Terraform', 'Jenkins', 'Ansible', 'Google Cloud Platform', 'Azure', 'Prometheus', 'Kafka', 'Airflow']","• 컴퓨터 과학 또는 관련 분야의 학사 학위
• DevOps 분야에서 2년 이상의 경험
• 네트워크에 대한 깊은 이해
• AWS, Container, Kubernetes 및 클라우드 인프라 전반에 대한 견고한 이해
• Terraform IaC(Infrastructure as Code) 구축 및 유지 관리
• Jenkins, Ansible 및 Chef와 같은 자동화 도구에 대한 경험
• 뛰어난 문제 해결 및 문제 해결 기술
• 뛰어난 의사 소통 및 팀워크 기술",0,"• DevOps 분야에서 5년 이상의 경험
• Google Cloud Platform, Microsoft Azure에 대한 경험
• 다양한 프로그래밍 언어 개발 경험
• SRE(Site Reliability Engineering)에 대한 경험
• Agile 개발에 대한 경험
• Kubernetes(EKS), ArgoCD, Github action, Prometheus나 Open metrics 에 대한 이해, 
   각종 모니터링, 장애대응에 대한 경험
• Kafka나 Glue, Airflow 같은 Data pipelines 이나 ETL 관련 기술 경험
• 다양한 문제에 대해 집요하게 원인을 파고 들수 있는 의지와 경험을 가진 사람
• 다양한 기술의 밑바닥까지의 호기심을 가진 사람",https://www.rallit.com/positions/1642/devops-%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4,
22,라텔앤드파트너즈,방송·광고·영상·오디오,36.0,2020.0,중소기업,332945.0,서울특별시 중구,데이터 베이스 관리자,"['Python', 'Spring', 'AWS', 'Git', 'iOS', 'HTML/CSS', 'Java']","• 개발 경력 4년 이상
• Java 기반 Spring Framework, RDBMS(MSSQL 등)를 이용한 개발 경험자
• 원활한 커뮤니케이션 및 협업 능력을 가지신 분
• 성장하고자 하는 의지와 욕구가 강력한 분
• 해외 여행에 결격 사유가 없는 자",0,"• 테스트 코드 작성 및 코드 리뷰에 적극적인 분
• 서비스 운영 및 지속적인 구조 개선을 위해 노력하는 분
• JPA, Hibernate 등 ORM 경험이 있는 분",https://www.rallit.com/positions/1935/java-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-4%EB%85%84-%EC%9D%B4%EC%83%81,
23,패스트뷰,생활용품·화장품,4.0,2021.0,중소기업,1850000.0,서울특별시 강남구,백엔드 개발자,"['AWS', 'Node.js', 'Kotlin', 'Spring', 'PHP', 'Confluence', 'Java', 'Spring Boot', 'MySQL']","• 백엔드 경력 5년 이상
• AWS 사용 및 운영 경험
• 코틀린 사용경험
• 앱/웹 등 다양한 플랫폼 서비스 개발 경험
• Java(1.8이상) / Spring Boot 환경에서 RESTful 서비스 개발 경험
• MySQL / Aurora 등 RDMBS에 대한 이해와 JPA / Hibernate 등 ORM 경험
• Git 기반소스 버전 관리 경험
• 웹 애플리케이션 성능 최적화, 유지보수, 트러블슈팅 경험",0,"• 데이터 스크래핑 경험이 있으신 분
• 레디스/맴캐시드 등 캐싱 도구 사용 경험이 있으신 분
• RDBMS 뿐 아닌 다양한 데이터베이스를 다뤄보신 분 
• 글로벌 서비스를 런칭 및 운영 해보신 분
• 처음부터 신규 서비스 개발에 참여해 런칭을 해보신 분
• 다양한 분야의 사람과의 팀워크 협업능력과 커뮤니케이션 능력이 뛰어나신 분
• 협업을 위한 개발도구를 활용하여 프로세스를 만들고 표현할 수 있는 분
• 이슈에 대해 효과적인 커뮤니케이션이 가능한 분",https://www.rallit.com/positions/1770/%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-5%EB%85%84-%EC%9D%B4%EC%83%81,
